video_url,title,user_url,username,view_num,view_num_raw,created_at,created_at_raw,shortdesc,collected_at
https://www.youtube.com/shorts/2pTYrTvTYj8,Hear from undocumented immigrants deported from the United States | AJ #shorts,https://www.youtube.com/@aljazeeraenglish,Al Jazeera English,405000,405K views,2025-05-15 05:32:14.592897+00:00,1 year ago,Humiliation. Desperation. Anger. Hear from some of the undocumented Latin American immigrants deported from the US. President ...,2026-05-15 05:32:14.592897+00:00
https://www.youtube.com/watch?v=qijbg5AHKTQ&pp=ygUNVVMgSW1taWdyYW50cw%3D%3D,Migrant Crisis: The Deadly Journey from El - Salvador to the USA | The Dreamers | ENDEVR Documentary,https://www.youtube.com/@ENDEVRDocs,ENDEVR,1100000,1.1M views,2025-05-15 05:32:14.593518+00:00,1 year ago,"The Dreamers | ENDEVR Documentary Watch ' The Colorado Green Rush - Get Stoned, Get Rich ' here:...",2026-05-15 05:32:14.593518+00:00
https://www.youtube.com/watch?v=dkGJMo9g0HU&pp=ygUNVVMgSW1taWdyYW50cw%3D%3D,Report: U.S. citizens unlawfully detained by immigration agents,https://www.youtube.com/@NBCLA,NBCLA,9600,9.6K views,2025-12-16 05:32:14.594094+00:00,5 months ago,The senate report outlined nearly two dozen cases between June and November. Mekahlo Medina reports for the NBC4 News at...,2026-05-15 05:32:14.594094+00:00
https://www.youtube.com/shorts/uFWK8Q1S9Q4,"US Immigration officials, other federal agents go after illegal migrants in Chicago",https://www.youtube.com/@ANINewsIndia,ANI News,188000,188K views,2025-05-15 05:32:14.594807+00:00,1 year ago,"US Immigration officials, other federal agents go after illegal migrants in Chicago #DonaldTrump #UnitedStates #Chicago Join...",2026-05-15 05:32:14.594807+00:00
https://www.youtube.com/watch?v=BI9IsTPbko0&pp=ygUNVVMgSW1taWdyYW50c9IHCQkECwGHKiGM7w%3D%3D,2 Hours Of Season 1 | Border Security America Marathon,https://www.youtube.com/@BorderSecurityOfficial,Border Security,1500000,1.5M views,2025-05-15 05:32:14.595464+00:00,1 year ago,Watch these episodes back-to-back from Border Security America ! Mail centre officers discover monkey skulls in a mysterious...,2026-05-15 05:32:14.595464+00:00
https://www.youtube.com/watch?v=H8lKMCieJBg&pp=ygUNVVMgSW1taWdyYW50cw%3D%3D,'Deportation machine': How Donald Trump and ICE are changing America ??FRANCE 24 English,https://www.youtube.com/@France24_en,FRANCE 24 English,286000,286K views,2026-01-15 05:32:14.596045+00:00,4 months ago,"For the past year, social media has been flooded with viral videos showing dramatic ICE arrests across the United States .",2026-05-15 05:32:14.596045+00:00
https://www.youtube.com/watch?v=qkSyFxKjGJM&pp=ygUNVVMgSW1taWdyYW50cw%3D%3D,"?òNo Visas for you?? US FREEZES VISAS for 75 nations, including Somalia, Iran in massive crackdown",https://www.youtube.com/@TheEconomicTimes,The Economic Times,65000,65K views,2026-01-15 05:32:14.596705+00:00,4 months ago,The United States has suspended visa processing for citizens of 75 countries in a sweeping move that signals a major escalation...,2026-05-15 05:32:14.596705+00:00
https://www.youtube.com/shorts/otGabSnt6w4,U.S. Immigrant Visas Paused for 75 Countries,https://www.youtube.com/@thelawofficeofs.a.peterkin1355,The Law Office of S.A. Peterkin,2100,2.1K views,2026-01-15 05:32:14.597236+00:00,4 months ago,"The pause on immigrant visas for 75 countries will begin January 21, 2026 until further notice. The full list of countries will include...",2026-05-15 05:32:14.597236+00:00
https://www.youtube.com/watch?v=PzOUYJjZgSo&pp=ygUNVVMgSW1taWdyYW50cw%3D%3D,Operation Charlotte's web: US immigration crackdown hits North Carolina,https://www.youtube.com/@aljazeeraenglish,Al Jazeera English,4300,4.3K views,2025-12-16 05:32:14.597760+00:00,5 months ago,"Charlotte, North Carolina is the latest US city to face raids on immigrants suspected of being in the country unlawfully. A massive...",2026-05-15 05:32:14.597760+00:00
https://www.youtube.com/shorts/YbsYwVnOhoI,Can Marriage to a U.S. Citizen Dismiss Removal Proceedings? NYC Immigration Lawyer #usaimmigration,https://www.youtube.com/@GehiLaw,Gehi & Associates - US Immigration Law Firm,7000,7K views,2025-05-15 05:32:14.598340+00:00,1 year ago,Can Marriage to a U.S. Citizen Dismiss Removal Proceedings? Are you in removal proceedings and recently married to a U.S. ...,2026-05-15 05:32:14.598340+00:00
https://www.youtube.com/watch?v=aF1-aDWDbWw&pp=ygUNVVMgSW1taWdyYW50cw%3D%3D,"Finally! US Immigration Good News JAN 2026: Work Permits, Green Cards, Deportations, Visas",https://www.youtube.com/@usimmigrationnews,US IMMIGRATION NEWS,15000,15K views,2026-01-15 05:32:14.598774+00:00,4 months ago,"FINALLY! US Immigration Good News JAN 2026: Work Permits, Green Cards, Deportations, Visas #greencard2026 #goodnews...",2026-05-15 05:32:14.598774+00:00
https://www.youtube.com/shorts/VS7b9xYlc3Y,How to Pass US Immigration Real Conversation Practice! ?á∫?á∏ #englishlanguagelearning,https://www.youtube.com/@Mr.UsaEnglish,Mr. Usa English,841000,841K views,2026-04-15 05:32:14.599382+00:00,1 month ago,"Welcome to Mr. Usa English! In this daily English conversation, see how a **cbp officer** guides a **tourist** through an...",2026-05-15 05:32:14.599382+00:00
https://www.youtube.com/shorts/5N3nH7-hMlU,Selena Gomez Weeps as Trump Deports Illegal Migrants | Firstpost America | N18G,https://www.youtube.com/@Firstpost,Firstpost,290000,290K views,2025-05-15 05:32:14.600165+00:00,1 year ago,Selena Gomez Weeps as Trump Deports Illegal Migrants | Firstpost America | N18G Singer Selena Gomez shared a tearful video...,2026-05-15 05:32:14.600165+00:00
https://www.youtube.com/watch?v=xJ-J3SpQRdw&pp=ygUNVVMgSW1taWdyYW50cw%3D%3D,Indians In The U.S. At Risk? Trump?ôs New Immigration Reform 2026 Explained!,https://www.youtube.com/@TimesXP,TimesXP,1800,1.8K views,2026-05-06 05:32:14.600703+00:00,9 days ago,"What does the latest immigration reform proposal mean for Indians living in the United States ? In this video, we break down the...",2026-05-15 05:32:14.600703+00:00
https://www.youtube.com/watch?v=f4YQXuNerLM&pp=ygUNVVMgSW1taWdyYW50cw%3D%3D,US Immigration Crackdown Targets Dozens of Nigerians,https://www.youtube.com/@NewsCentralAfrica,News Central TV,52000,52K views,2026-02-14 05:32:14.601166+00:00,3 months ago,"The United States Department of Homeland Security has added eighteen Nigerians to a deportation list, bringing the total number...",2026-05-15 05:32:14.601166+00:00
https://www.youtube.com/shorts/M1YDk5L89Gs,How to Become a U.S. Citizen: 6 Key Requirements Explained!,https://www.youtube.com/@passageimmigrationlaw,Passage Immigration Law,98000,98K views,2025-05-15 05:32:14.601714+00:00,1 year ago,USCitizenship #ImmigrationTips #AmericanDream #Naturalization #CitizenshipProcess #GreenCardHolder #ImmigrationLaw...,2026-05-15 05:32:14.601714+00:00
https://www.youtube.com/watch?v=X04tuCLmD-Q&pp=ygUNVVMgSW1taWdyYW50cw%3D%3D,Immigrant Asks JD Vance: 'How Can You Stop It And Tell Us We Don't Belong Here Anymore?',https://www.youtube.com/@ForbesBreakingNews,Forbes Breaking News,3300000,3.3M views,2025-11-16 05:32:14.602326+00:00,6 months ago,"Taking questions at a Turning Point USA event at the University of Mississippi, an immigrant asked Vice President JD Vance...",2026-05-15 05:32:14.602326+00:00
https://www.youtube.com/watch?v=OfCdQIphpgU&pp=ygUNVVMgSW1taWdyYW50cw%3D%3D,Green Card Holders Facing Deportation in 2026 | New US Immigration Rules Explained,https://www.youtube.com/@USImmigrationUpdates-m9z,US Immigration Updates,63000,63K views,2026-02-14 05:32:14.603161+00:00,3 months ago,"Are green card holders really facing deportation in 2026? What's real and what's fear-based? In this video, immigration analyst...",2026-05-15 05:32:14.603161+00:00
